,user_id,user_movie,user_name,user_pop
0,tjz230,3963,影志,96857
1,7542909,2267,翻滚吧！蛋堡,4389
2,lingrui1995,2325,凌睿,15379
3,metiche,1737,杨欢喜Metiche,1983
4,qijiuzhiyue,10205,桃桃淘电影,141347
5,fengjiansun,2532,风间隼,24443
6,flxjp,5534,法兰西胶片,5931
7,kar200,2484,觉,615
8,clzleo,1515,羚羊的灵魂,370
9,zhutong,2242,天蝎小猪,23606
10,34347136,2823,Madison,4135
11,auxt,,大島,
12,171036476,,看电影吧,
13,3540441,,同志亦凡人中文站,
14,zhangzongqian,5695,亵渎电影,55240
15,yimaxxduck,418,姨妈的鸭,62435
16,diewithme,2452,王大根,58404
17,ydyie,4428,时间之葬,14296
18,lephemera,3402,蜉蝣,7455
19,114515320,138,谢飞导演,24637
20,renjiananhuo,1382,邓安庆,101103
21,FrankWasabi,9875,芥末蘸酱,1968
22,1402913,177,大聪看电影,9779
23,nezhaboy,2219,哪吒男,8133
24,63306399,1176,江寒园,405
25,grinch,6824,大奇特(Grinch),26865
26,joearde,2874,阿德,6198
27,70686669,8,aaaweirdo,7
28,smee,3018,smee,157
29,eason0210,4969,乐山小佛,3617
30,dreamfox,4699,乌鸦火堂,18182
31,xmcog,445,名川,1625
32,xzfd,2224,张小北,54260
33,51783252,2796,津五渡,1065
34,4651372,577,RonboleeBertro,16
35,CyberKnight,2624,CyberKnight电子骑士,6985
36,50060410,2352,朝阳区白百合,2875
37,1852864,1594,婴儿,10070
38,MovieL,4398,木卫二,117342
39,jojoorc,1087,JOJOORC/Z,9402
40,yth314,687,syndromancerrr,39
41,maqingyun,916,马庆云,1042
42,SELVEN,1693,SELVEN,1884
43,bsqtzykbsqtzyk,,小龙同学,
44,cabaret,3723,陀螺凡达可,22193
45,yinxiang,5249,胤祥,22854
46,Q598176297,405,恶魔奶爸Sam,76591
47,shunong,1750,舒农,882
48,57451687,951,Arthur,310
49,pirealwei,5229,痞影人科莱昂,3393
50,mlln,34,mlln,50167
51,W3IQ7,2502,OCT IO≯,973
52,119145860,113,胡九点,2
53,76586750,1260,Linnnnnnnn,10
54,greatethan,,阿哲系,
55,mbbbbbbbcker,249,马泽尔法克尔,6691
56,klimax,2775,玛丽莲·孟获,3239
57,conanemily,4181,米粒,44529
58,90031915,,深巷卖樱桃儿,
59,hexiaoqin,3557,何小沁,7208
60,feifeiyu,40,肥肥鱼,98149
61,2849243,3382,shininglove,11864
62,plumestreet,1415,雨前羽街,49224
63,2265139,1132,七颗栗子,23480
64,aixiaoke,2865,艾小柯,112284
65,xilouchen,1567,西楼尘,6996
66,zoic,699,野象小姐,12823
67,sakimay,2124,黄青蕉,66913
68,run11run,2743,Mona Lishark,9167
69,movie007wn,2163,蒜 | BOY A✎,8561
70,reave,6625,谢谢你们的鱼,1619
71,147043226,,张嘟嘟,
72,dreamending,3544,王写写,1755
73,blacktea077,1266,曾良君,89245
74,fantasychang,1447,弗朗索瓦张。,4662
75,dubian0816,1899,渡边。,7215
76,lm498521969,1451,李濛Lemon,15985
77,loyoyo_O,732,木由,17630
78,Len.,4546,恶魔的步调,15564
79,69290051,1955,Paco,8236
80,melody1971,2633,游牧人·芳汀,10842
81,stscar,1246,海淀鸡王柴斯卡,24402
82,yuyan545,1878,亚比煞,39024
83,blittlek,900,不小可,285
84,80722428,1770,焚紙樓,2349
85,veverlee,4822,内陆飞鱼,15917
86,luxifaer,2587,路西法尔,2208
87,cantona_x,1563,汽车大师,7817
88,171073603,,820923,
89,65569388,1093,大海里的针,5434
90,ruo1996,4462,徐若风,6276
91,vitaminJ,1067,隔壁山田,4493
92,luhua,5636,芦哲峰,14738
93,Akifumi,488,Human,102
94,84406810,,keke,
95,67733255,,怪房客,
96,problemchildren,2644,国王KING,13775
97,richer725,7686,荔枝超人,9074
98,fallnnino,2088,emo fat boi,110
99,movieater,2199,女神的秋裤,6739
100,wenzel,3195,文泽尔,57177
101,108719440,,洋聪电影,
102,duduxiongzhifu,2749,嘟嘟熊之父,1536
103,136505664,495,梅山君,19249
104,3551583,307,慕容复,36074
105,88488606,,拿卡利,
106,57460299,3095,虎哥,223
107,1693422,705,张大水,33066
108,4187023,161,fateface,37688
109,koiwai0908,842,小岩井,65629
110,ruilixiurui,3985,锐利修蕊,4945
111,stevecarell,2174,基瑞尔,7823
112,hhtytgfgg,342,容妈,92342
113,Colin_Wang,1278,科林,1526
114,53644977,6379,你看看！,447
115,chesirecat,369,王小能,41636
