,movie_comment,movie_id,movie_score,movie_time
0,欲望是枷锁，也是冲破枷锁的力量,1301168,5,2018-03-22
1,作为传记片算是足够有趣了，小Tonya哭起来好看；至于潜规则，清楚明白摆到台面也改变不了什么的，正好是美锦开赛前一天，就看今年平昌会去谁 :-),26756049,4,2018-01-03
2,恶心得我想半途退场，elegance能从镜头里看见，但不能理解哪里来的peace and solace？还有solipsism高人一等吗？包装成gothic romance的霸总爱上我就不是clichés了吗？ 果然PTA的阅读理解我又一次做了不及格,26809592,3,2018-01-03
3,人物很操蛋，电影更操蛋,26995719,3,2018-01-01
4,世间有那么多明路，而爱让人盲目，这个家在蹉跎里辜负了太多她的家人,26862829,5,2017-12-18
5,熟悉的music will guide you home的主题，亡灵节的设定很精细；其实不明白为什么总喜欢预设音乐与家庭是对立的，几代人都没解开一个误会也是很奇幻了,20495023,5,2017-12-18
6,众生皆苦，幸有圣母,26752852,4,2017-12-04
7,,26778790,4,2017-11-05
8,,10512661,4,2017-11-01
9,对我而言比实际上催泪十倍的原因大概是我在福士苍汰身上看到了别人的样子,26707472,5,2017-10-30
10,我的软肋还在，却没有了铠甲,27012772,4,2017-10-13
11,"When you‘re look for fidelity, you're looking for nothing.",26759825,3,2017-10-11
12,人只有失去了才懂得珍惜，只有在纽约逼仄的楼宇间才想起Sacramento的阳光，只有听见陌生教堂的唱诗班歌声才怀念教会学校生活，只有离开了家才知道爱着爸妈。矫情不一定是无病呻吟，有时只是无能为力。,26588314,5,2017-10-10
13,一个作精倒下去，千万个作精站起来，peace,26746559,3,2017-10-10
14,爱是一道光，如此美妙，指引我想要的未来,26755583,5,2017-10-08
15,心血都蒸馏成酒精，伤痕只救赎了自我,26872478,4,2017-10-08
16,"""What things that matter?""""You know what things.""",26799731,5,2017-10-05
17,反婚反核反移民，适龄未育女性的丧钟，<The End of the World>响起来时全场突然爆笑...,26648284,3,2017-09-19
18,烟火炫美，终成死灰,26928125,4,2017-08-30
19,,26864121,4,2017-08-28
20,Lowe's赞助了很多钱吧=。=,26723165,4,2017-08-25
21,It suffused with sense of marginalization and desolation; music keeps the mood of tense continuous; great work for debut,26389601,4,2017-08-07
22,徒有武道其形，仍缺侠义其神，不值细品，但闲时可观,26743541,3,2017-08-04
23,谁看谁智障。最后看到史蒂芬金的名字真是一口老血...,4943938,1,2017-08-04
24,格局不大但情节完整镜头简洁叙事清晰，多一星给我只露脸十秒钟的汤甜,26607693,5,2017-07-21
25,“趁熄灭前，还可一见，蜡成了灰，沾污了我的脸。众生蔓延，泪海被填，浪漫搁浅，旧欢不变。”,26920017,5,2017-07-17
26,作有作福啊,26884892,4,2017-06-28
27,邻居家今年又装修了,25824686,1,2017-06-27
28,美即正义,1578714,4,2017-06-03
29,算个球,25937854,3,2017-05-08
30,He stays where his destiny is.,3025669,4,2017-04-27
31,《如何当一个PC的高级白左》,26703158,,2017-04-24
32,脑子泡汽油里了吧,26260853,2,2017-04-21
33,so depressing...,26134563,5,2017-03-18
34,脑子有屎换到谁身上都没用啊,24325815,2,2017-02-14
35,你孩子长得越来越像你失踪那哥们儿而且你老婆还死了死无对证，只踹脸真算客气的了；人物和笑料都特别多余，价值观严重落后于二线县...呸，这片子哪有价值观；多一星专门给我们美颜盛世的小丽姐姐，太好看了,26862259,3,2017-02-14
36,,26339213,4,2017-01-15
37,,26865382,5,2016-12-25
38,原作一个接地气的写实风小说，徐昂拍出了漫改日剧的气质，有意思，现在就看剧情能不能撑住略显浮夸的人设了——嗯，结果是不能,26674019,3,2016-12-25
39,原作是远藤周作为不得不因粗粝现实考验而妥协的信教者奏响的悲悯之歌，马丁则用真实的无声影像冲击人心。“跟真正的难处比起来，交流都是杯水车薪。”这句话恰是本片的注脚。Rodrigues和Ferreira在寺庙的对话堪称精彩；细节如蜥蜴和加菲踏上的那块磨损神像都与原作一一相合；我的nana是真好看啊。,1884684,4,2016-12-25
40,就是个碟仙吧,26602794,3,2016-12-25
41,如今我们深夜饮酒，杯子碰到一起，都是梦破碎的声音。——北岛,25934014,5,2016-12-11
42,A qualified thriller，把原著一个冷静克制的小说拍得令人屏息；Abel配乐一如既往地优秀，镜头色彩优美统一；口红瞩目,26353372,4,2016-12-11
43,Gift，不是这十二个不明物体来到地球就为了教一位语言学女教授学画圆和预知自己未来的能力并且用这种能力解救物体自身，而是赋予了她生的希望爱的能力和即使洞察了自己未来的痛苦与孤独却仍能坦然前行的勇气；这样的降临出现在地球的各个角落与表盘上的12个数字间，也在每个人的身上，是为天启。,21324900,5,2016-12-07
44,名人传记片算是讨喜的传统冲奖题材，但煽情卖惨不深入，故事本身挺无趣，很多细节也容易被忽略，还不如导演今年的另一部Neruda好看；至于波波影后的表演，怎么说，前半部分违和感很强，像是一个神似安妮海瑟薇的泰勒斯威夫特，后半部分倒是没这么违和了，估计是我已经习惯了。,4849728,4,2016-12-05
45,,1308779,4,2016-11-06
46,我不入地狱谁入地狱，精神的强大不在于结果，在于作出选择那一刻的义无反顾，英雄的意义也正在于此。以肉体凡胎来抗衡无穷尽的时间轮回，电影赋予了超级英雄西西弗斯一般的悲壮与神性，当然视效和冷笑话都有亮点，但这是最打动我的地方。,3025375,5,2016-11-06
47,同是黑人题材，相比起Moonlight，本片是真实的腊鸡！！！,26600422,1,2016-10-31
48,Went through so much that can finally be true to oneself. 清新流畅，有金句有呼应，但mtc满分是过分了吧,26648249,4,2016-10-31
49,由混乱善良统领的守序邪恶小分队与混乱邪恶大魔王乱打一气的故事,3569910,3,2016-10-22
50,看得出原来的故事挺有意思，但叙事和节奏太糟糕,24325861,3,2016-10-20
51,妖艳贱货的胜利,26022182,5,2016-10-16
52,将现实生活中的个人情感选择进行了夸张的道德绑架，形成一个“要么你死要么我死要么大家一起死”的困局，以此来营造命运悲剧的氛围，属于十年前虐身虐心的古风网文烂梗；画面和音乐都没大问题，但剧本作为电影的核心价值过于空洞了,5045678,2,2016-10-16
53,"imdb有个评论讲得对：""Gone Girl without the tension, emotion or drama""",26413089,2,2016-10-13
54,a restrained presentation,26296258,4,2016-10-10
55,将每天过成诗歌一样漂浮，又用诗歌书写每天的确切，文艺青年就是这样一种人。,26677495,4,2016-10-04
56,,4896304,3,2016-10-03
57,苏照彬是会写武侠的，可能提高拍武侠的水平还需时日吧,3813779,4,2016-10-03
58,因为爱没有根，再多的深情也只是矫情,26280528,2,2016-10-03
59,惨绿少年泡妞时顺便拯救了世界，全是套路,7051830,3,2016-10-03
60,"生活像是曼彻斯特的雪，干燥而冷硬，无情地嘲笑着折磨着裹挟其中的每个人，将最后一点温暖掩埋于六尺之下。""I can't beat it. I can't beat it.""",25980443,5,2016-10-03
61,难看，无趣得难看，炸裂地难看，第一集尴尬第二集快进第三集脱粉的难看。从设定剧情演技到配音打光服化道皆无可取之处，白澍说过“这也是一个作品”，现在看来真是太客气了。,26765418,1,2016-10-02
62,成长的路很多，有人选择向生活妥协，有人选择与自己和解。,25827935,4,2016-10-01
63,动画也能有刀光剑影快意恩仇；画面，音乐和配音太加分了,26287884,5,2016-09-25
64,,26576624,5,2016-09-24
65,,25942176,5,2016-09-24
66,有人物塑造，也有技巧结构，但剧情和主题没有令人深刻的记忆点，就像乱炖，吃时好吃，吃完就忘。,26284621,4,2016-09-22
67,风刀霜剑，经年累月，举步维艰，斩钉截铁，积重难返，破釜沉舟，和光同尘，一念三千。,26389148,5,2016-09-14
68,全程高能，吓疯,26704620,5,2016-09-14
69,画面美，金句多，节奏缓，叙事碎。,25766754,4,2016-09-13
70,"""No one dies today. ""If it isn't hopeful, I don't know what is.",26416603,4,2016-09-12
71,,1994879,3,2016-09-11
72,看前半部感觉炫技部分很尴尬，看完觉得炫技以外的部分更尴尬,25662337,3,2016-09-11
73,这是只金刚熊？,3718424,2,2016-09-10
74,穿滑板鞋我也认了，求求你把衣服穿上行吗,5154799,2,2016-09-10
75,丧绝人寰,26306656,5,2016-09-01
76,,19434581,4,2016-08-27
77,虚脱,24860563,4,2016-08-27
78,,2002743,3,2016-08-27
79,蛇母陵探险乐园一日游团出发啦；我的然然又黑又土丑到晕厥，我的露露太软妹了大概这辈子没法当男主，塞得,24827387,2,2016-08-15
80,社会主义克苏鲁,24827406,1,2016-08-13
81,跑酷改变人生,26662345,3,2016-08-13
82,强行给校园文加了个“十年后”的狗血渣贱结局,26354587,4,2016-07-31
83,艹,25967447,1,2016-07-22
84,经验足，情商高，城府深，知冷暖，懂进退，会来事。这种人好得让人无法拒绝，然而一旦翻脸就不堪设想。,10594965,4,2016-07-22
85,,24743728,3,2016-07-22
86,,25884484,4,2016-07-21
87,火星哥抢了那么多年戏终于担正不用抢了哈哈哈哈哈哈哈哈,26290409,5,2016-07-21
88,刷新我对CW的三观，小破台这次砸钱了吧,24883222,5,2016-07-21
89,,25802407,4,2016-07-21
90,一个套了很多层壳以致于太不现实的爱情故事,19944106,3,2016-07-21
91,妈的智障,25745752,1,2016-07-19
92,张弦soco真汽油沉默小兵姐...估计原型看了要吐血，不过要是rps同人这么写还挺带感的 /20170224，陈默不在了/,25819710,2,2016-07-13
93,唯一的优点是三观挺正...的吧,26786504,2,2016-07-13
94,放飞自我，终得救赎,26437237,4,2016-07-07
95,一起放弃治疗叭~,26279688,4,2016-06-28
96,,3126196,2,2016-06-27
97,看完感觉自己的智商都清新了,5122641,3,2016-06-18
98,"We suffered from our past, but we hold the line. If you cross it, there's no way back. ",25873036,5,2016-06-17
99,在有限的设定里搞了个不错的脑洞；当然如果没有前作和漫画的reference那就是一群中二病瞎几把打架=。=,25786060,4,2016-06-03
100,年纪大了吃不下这么些弱智恋爱戏码,26344688,3,2016-06-02
101,到底最后给人家发了薪水没有？？？,1892510,2,2016-06-01
102,,25820460,4,2016-05-11
103,没有共鸣的原因大概是年代太久远了,1302926,3,2016-03-30
104,主角没演技剧情没主题但还是戳到我最近低到马里亚纳海沟的泪点。还有，图图萌炸了,25782827,4,2016-03-26
105,大本啊，你是第一次当蝙蝠侠，不代表是布鲁斯韦恩第一次当蝙蝠侠；莱总的美貌都无法拯救电影的无聊,24750534,3,2016-03-25
106,要说的点都说到了，对应也挺巧妙的；女主有胸有脑，看得爽,3543318,3,2016-03-21
107,大难不死，必有续集,2977957,5,2016-03-17
108,非我族类，其心必异。We were born to hurt each other. ,25662329,5,2016-03-17
109,,10757686,4,2016-02-14
110,集人生狗血之大成；为什么要换掉Sam小哥啦)′⌒`(,4816214,4,2016-01-25
111,Drama in life. Life in drama. 将戏剧冲突和情节设置有意加入真人秀里还能呼应主题也是不容易,26430411,4,2016-01-25
112,剧组简直大写的缺钱，已放弃,6939560,3,2016-01-25
113,大概是期望太低，看完觉得还不错,26643898,4,2016-01-25
