,movie_comment,movie_id,movie_score,movie_time,user_id
0,对，我为伟叔看的，我伟叔又演烂片伤大家眼了。完全忘了上部什么剧情。私以为甩开上部男女主，另开故事线为好。不然动机和人物关系完全受制约，故事压根没法讲。全程四川话的春哥算是惊喜吧。就是造型做得不大能认出她来。,26575103,1,2018-04-15,petitespot
1,一人穆斯林拍的以虔诚印度教徒（演员还是穆斯林）为男主的片子。除了对“节奏”这个词没有概念的印度电影人通病（最后走过边境线那段升格画面简直没完没了！），其他无论是讲故事立人物还是拔主题都没话说。歌舞插入得一点都不尬，场面和手法都可以甩开好莱坞了。,26393561,4,2018-04-15,petitespot
2,热衷蓐钱的王胖子只要认真，就能拍高规格的商业片。他对观众和自己都有很清楚的认知，手段和技法都是用老的，略花点心思雕琢即可。瘦死的骆驼比马大，所以就更显得这人可恨，华语电影可怜。,26425068,4,2018-04-15,petitespot
3,,27663984,5,2018-04-12,petitespot
4,《头号玩家》观光团。艾德·伍德的脑洞长在了一个执行力高的导演身上＝本片。既羞耻又好笑，既好笑又羞耻。女主好腿！,1301795,4,2018-04-05,petitespot
5,看！得！太！开！心！！了！！！,4920389,5,2018-04-03,petitespot
6,与其说电影，更像军事记录+军教科普+征兵广告。把蛟龙的所有业务项目拍了个透彻，全程啪啪啪高能。情节紧凑，场面更是没得话说。可惜剪辑有很大的问题。械斗之外的戏剧冲突差，女记者这条线假，海清演技也没上线过。沙尘暴处就该ending，黄饼应该扣下悬念拍续集的嘛。,26861685,5,2018-04-01,petitespot
7,歌舞插入最无违和感的正经电影，喊麦最好听的大龄中二男。老毛子骨子里还是很浪漫的，又浪又漫。剧情像是一部20集肥皂剧的压缩精华版。跟花滑的关系不是很大，主要是爱情。但是爱情来去得也都很突然。说故事的能力不来塞。然，最后的大合唱太加分了。女主好甜。,27196380,3,2018-04-01,petitespot
8,波顿中年危机之后，我体内的中二生就靠陀螺续命了。针不针砭时弊的，小人鱼+美女与野兽的童话原来我还是很受落的。居然给看哭了这么丢脸我会到处乱说么。霍金斯真的纵向穿越年龄横向穿越次壁，美得很诡异了。跟鱼人天生一对。,26752852,5,2018-03-29,petitespot
9,结尾两人车上对话处，大家一齐拍手“这才应该是最佳剧本”。每个人物都立起来了，还都有合情顺理的发展曲线。这个世上大多数的人都既不算圣也不大坏，却总有冲突，大家都活得很愤怒，有起由有揭示有解决……吧。我特别喜欢这种把小人物小事情小琐碎拍到妥帖的。,26611804,5,2018-03-27,petitespot
10,这世上最大也最破解不开的悬疑，是人与人的关系及亲密者之间的谎言。道理我都懂，但这个剧情是什！么！鬼！警察挖出[-哔-]的时候我笑场了三分钟。这个锅也不知道要谁来背，反正岛田庄司应该不背的。原著不可能是这种分明弱智却自视高明的情节吧。,26677981,2,2018-03-27,petitespot
11,对比我于第一部的观后，三件事情切实搞上去了：动机合理，场面砸钱，格局提高。片子就变好看了嘛。朋友一直拿它跟《红海行动》比，我说自己看这片儿是抱着看《杀破狼》一路的心情。虽然中间偶尔笑场“这个真的科学？”，但啪啪啪的打片拍到这个份上还有什么好说的？哦，塘主这个角色有点尬。,26363254,4,2018-03-27,petitespot
12,晚上的戏都暗成一团，白天的场面也是画质感人。但不知不觉就看完了。一忽感慨沈从文果真能活写出少女心态，一忽聊起湘西这个地方很神奇了。结尾处大家都很惆怅。小伙伴一语总结“撸完这片儿，心情十分潮湿”,1305978,4,2018-03-27,petitespot
13,夕阳那幕想到《狮子王》的请晃动你们的双手。抱着“看超能力”的中二心情入场，所以打架的戏就……即使出动犀牛了，场面也不算很壮观。非洲的美景、文化与音乐跟漫威世界观的“高科技”还是结合得过于生硬了。朋友两个疑问：1.有了他钢铁侠是不是不用混了？2.全片最厉害的难道的不是男主的妹妹？,6390825,3,2018-03-27,petitespot
14,冗杂，造作。小朋友翻起白眼来，很适合去演恐怖片。,26654146,1,2018-03-19,petitespot
15,,27185291,2,2018-03-18,petitespot
16,最近在补这个片子。友曰“湖南台最后的良心剧”。全程输出真人弹幕。,2210001,5,2018-03-17,petitespot
17,没有主线剧情。没有主要冲突。就是烂梗的反刍。小伙伴看到三头六臂的红孩儿几乎笑昏。纷纷表示不能接受这个片子是老怪跟星爷出品。各位导演们最近债务都很重吧，应该。“我是蜘蛛啊”“你确实是只猪啊”,25801066,1,2018-03-17,petitespot
18,看演员阵容就知道不会是个正经剧情，情节什么的我一开始就是放弃的。做好了看动作喜剧片的准备。何润东一整部电影就没落着几次穿囫囵衣服。说是卖肉的担当吧也太甩卖了，我都吃不动了。动作戏很多，但是动作戏的剪辑都很乱来。小伙伴最后表示“别关！让我看清楚字幕，以后要避开这些人”。,26745334,2,2018-03-09,petitespot
19,说是科幻，主要的内容是聊天。又是看到一半猜到结局系列。但是男主设定是码农，所以最后做这种选择实在太生硬了，反正我是理解不了。文艺作者们对搞科技的人迷思太大了。小伙伴一旁想不通“为什么有人造AI不用机器人三定律”。我也只有翻翻白眼。而且机器人还遮什么性征，造型设计也低俗趣味了些。,4160540,3,2018-03-09,petitespot
20,我一直说这个世界上最可怕的是人。一个恐怖片能把人拍得恐怖才是真的恐怖。这个片儿就是人恐怖……还好笑。每句话看着都没什么，但听起来哪儿哪儿膈应。顺带讽刺了一把“住在黑人身体里的白人”。那些有白人女朋友的黑人的观后感很值得采访一下。,26688480,4,2018-03-09,petitespot
21,这片子正经拍90分钟就解决战斗了。看的一路在吐槽“剧情完全没有发展”，“内景搭得也太随便了”，“表演可真够脸谱化的”，“这个动机不能自圆其说什么鬼”，“虽然按戏剧发展应该这样，但这真的符合人性？”，“阿米尔汗应该就是想赚点快钱吧”,26942674,2,2018-03-08,petitespot
22,补档。从国王演讲到敦刻尔克然后丘吉尔也来了，这个题材总算是没得再拍了。演的真好，没话说。但是剧本太中规中矩的命题作文了，特别是最后从地铁到国会的一节，可以说是编排得十分刻意和造作了。镜头也是有点疲。,26761416,4,2018-03-07,petitespot
23,剧情只能说“非常阔怕”了。那种我就算再年轻二十岁也会觉得非常非常非常阔怕的情节OMG。土屋太凤的颜get无能。不是很懂现在的霓虹人民。然而，我居！然！看！完！了！最近荷尔蒙失调吧，大概。,26989728,3,2018-03-06,petitespot
24,母上那辈人有别的感触。但我来看，那些泳装，那些舞蹈场面，是导演中年危机的外放表现。“可惜自己”与“可惜别人”，在处理一些细节上的取舍就完全两样了。,26862829,3,2018-03-05,petitespot
25,,26827040,1,2018-03-05,petitespot
26,,27199901,4,2018-02-26,petitespot
27,昨天看完2回头想到把1也补了。看完1觉得我给2三星实在对国产片太过宽容了。大概在国内住久了自然会生出这样的毛病。以剧情的顺畅度推理的流畅性反转的合理性，各方面来说，2是退步了一大截的。自己跟自己比，退步了扣星没毛病。,26311973,3,2018-02-21,petitespot
28,春节档没太大的选择。母上要看喜剧，于是就看了这部。母上结论：1.刘昊然女装比男装好看。2.都是燥事体。3.全是燥笑话。笑点庸俗，人物神经，细节不能推敲，故事整体没大意思。但作为国产商业喜剧片，这个完成度感人。彩蛋导演与夫人出来尬秀是扣分项。,26698897,2,2018-02-20,petitespot
29,早对霸道总裁玛丽苏这一套免疫了。幼稚的职场，老梗的豪门也是意料中的。第一集的剪辑白眼翻上天。但这剧的服饰道良心，本土偶像剧终于不止“土”而且“豪”了。专注职场性骚扰100年的男主各种错误示范，让人分分钟想pia死在墙上。然而……谜之好笑。假期里当喜剧片快进着看还是不错的。,26727942,1,2018-02-19,petitespot
30,后浪打折那阵捞了本《看不见的剪辑》，于是近期老片回顾ING。这部是属于“很有名但我看不出大好”来的那种。特别是年轻时候，连笑料也没get到过。要过了主人公那个年纪，编导剪对那种空虚烦躁急欲找个目标——哪怕盲目，去寄托这一股无聊的心理捕捉得太准了。,1292271,4,2018-02-17,petitespot
31,跟着剪辑书把这片重新撸了一遍。虽然是室内戏，但是镜头真讲究。陪审团担当了检控和律师的角色将案情重组。因他们是程序正义的最后一关，在对证物与证言的诘问中引出良心与道义，偏见与公正，个人与社会的辩论。观众也是一步步地被说服，剧情编置得极为出色。,1293182,5,2018-02-16,petitespot
32,前两天看了太多小学生作文式的“悬疑犯罪”，撸到这部真是精神为之一振。反转不稀奇，难得是每个反转都掐在点上。在一个没有好人的世界里，只剩恶的方式不同罢了。最后的冷笑话老梗神来，配上剪辑，让人后颈子嗖嗖发凉。庄凯勋这外形这演技大屏幕很可以啊。,11600078,5,2018-02-14,petitespot
33,会有那么几刻以为自己在看银河的片子，然后在下一刻省悟过来“还是邱礼涛啊”。女主角的戏可以删，吴卓羲的戏可以删。姜武在政府楼前放炸弹的动机不明也不足，生硬了。小警察父子铺垫了那么久警察的身份然并卵。一大巴的游客也并没有利用起来。结局要大场面是肯定的，但居然真的没有半秒反转……,26748673,3,2018-02-13,petitespot
34,故事和景都相当好。就是剪辑有些失败，红霞回忆身世的片段把节奏拖下来，导致观众的注意力在两个主角感情正积累待发的当口懈怠了。郎月婷跟周围环境有点格格不入，就不晓得是否故意为之。但是韩冲比她更有戏，特别后段她成了韩冲人物成长的陪衬，从道理上讲这是不应该的。,26106958,4,2018-02-13,petitespot
35,又一个误会自己是日本推理小说家的编剧。从张家辉和任达华在街上一起看新闻开始，我就把后面的剧情全猜中了（在此向被我剧透的说对不起，我也没料到能全中）。都不是靠推理功夫猜中的，只不过烂小说曾读过不少，这种套路没看过一百也有八十。这种套路绝对不能在开头放王敏德的戏啊，我去！,6738735,2,2018-02-13,petitespot
36,朋友：这个电影怎么能过审的？我：过审不难啊，广ｘ局又不审查“蠢”，神奇的是它居然能找到人投资！还能找到明星来演！！从第一分钟开始就令人不禁吐槽“什么鬼”，一直吐到二十分钟开始快进，一边快进一边暴笑一边叨叨“这都是什么鬼”。真是一部神奇的电影。,25849599,1,2018-02-13,petitespot
37,这种低龄化实在接受无能。觉得自己看了一部假的多啦A梦。精神受到了摧残。,26839466,2,2018-02-09,petitespot
38,最新一期找来两个教导官假装牢友，把几个明星吓得……一个个反应都太真实了，笑到抽筋。给设计的都是普通人日常因无知甚至善良而触犯到的法律，模拟庭程序完整，证据链细节完美，都是很好的普法教育。因为本身设定太有意思，参加的明星反倒是越没综艺感越单纯老实的越好玩。,27602100,5,2018-02-07,petitespot
