,movie_comment,movie_id,movie_score,movie_time,user_id
0,剪辑和镜头很棒，另类的美国梦，故事悲哀而残忍。★★★☆,26756049,3,2018-03-21,airan712
1,被好多人实力圈粉,27617683,5,2018-03-21,airan712
2,“别投胎回来了。”集体主义里的人性，丧失在共产导师的画像下。非常用心并且具有野心的故事，但视听有些用力过猛。★★★★,26738204,4,2018-03-17,airan712
3,非常有古典气质的电影，一种大多数人可能无法理解的爱情，不论有多么奇怪、美丽又或者恐怖，终究是爱情啊。★★★☆,26809592,3,2018-03-16,airan712
4,没看过原著，电影更像是披着科幻外衣的密室逃脱惊悚片。电影里有不少很明显的漏洞，也不认为为拍续集铺垫两小时是明智之举，以及固有的开放式的结尾基本可以让观众从故事讲到一半就猜得一清二楚。★★★,26384741,3,2018-03-14,airan712
5,第一次看德剧，服化道及制作的精美无需赘述，情节紧凑十分流畅的看完整季，好一出出大时代浮世绘。期待下一季。★★★★☆,26389403,4,2018-03-13,airan712
6,创意好，演员阵容庞大，特效也十分不俗，但是真到剧情与人物细节这部分，就真的很难谈好字。★★★★,11584016,3,2018-03-06,airan712
7,「虽然现在已经是太空时代了，人类可以搭乘太空船到达月球，但却没办法看穿每个人心里的宇宙。」靠北！这居然是导演的大银幕处女作。又黑色幽默又很操蛋的电影。一群生活在夹缝中苟延残喘的人，无家可归，从肉体到精神的流浪者，这些底层人民的世界只有黑白，有钱人的世界才配拥有五光十色。★★★★☆,27059130,4,2018-03-02,airan712
8,“他们只是孩子”哪有那么多美好的童话，人性就是险恶的。★★★☆,3011997,3,2018-02-23,airan712
9,就…很奇怪很尴尬很浮夸，也许这就是符合贺岁档的元素吧。★★,26698897,2,2018-02-23,airan712
10,戏骨彪戏，直面历史的残酷与屈辱。★★★☆,26800978,3,2018-02-09,airan712
11,活着很辛苦，但活着也很好。★★★☆,26334996,3,2018-02-03,airan712
12,斯皮尔伯格现在只拍四平八稳，无趣但一点毛病也没有的电影了，相对于这样豪华的阵容，真是杀鸡用牛刀。★★★,26990609,3,2018-02-03,airan712
13,Who Killed Cock Robin？什么是最恐怖的， 当然是被欺骗了。★★★★,11600078,4,2018-01-27,airan712
14,听起来K-Pax是个不错的地方”。★★★★,1306607,4,2018-01-26,airan712
15,2018年第一份暖心鸡汤，糖虽然有点多，但不至于会腻。比较喜欢姐姐的段落，虽然并没有交代的多么完整。★★★★,26787574,4,2018-01-25,airan712
16,立场和出发点是好的，但强行煽情，硬伤多，逻辑小问题多。btw，阿米尔汗真是太油腻了。★★★☆,26942674,3,2018-01-23,airan712
17,很克制，平地惊雷，克制的表达，克制中的绝望。★★★★★,27019527,5,2018-01-20,airan712
18,男主真好看，但真的不是一个两个半小时加长版艾滋病防治宣传广告吗？★★★,26746559,3,2018-01-20,airan712
19,复古的调调是真的很美，但如果把这个猎奇的跨种族畸恋换做普通人，那真是极其普通俗套的一部电影。★★★,26752852,3,2018-01-20,airan712
20,是真敢拍也真敢想，意淫了东北亚和朝鲜半岛的政治局势，这故事堪称科幻。★★★☆,26863778,3,2018-01-19,airan712
21,“他们花了很长时间为仇恨筹划，而爱却在第一时间做出了反应。”作为一个完成过马拉松全程比赛的跑步爱好者来说，私人情绪实在太浓。电影并没有刻意煽情，克制冷静，虚实结合，始终环环相扣。★★★★,26357945,4,2018-01-19,airan712
22,“明明做过的事情，我们只需要道歉就可以了，为什么不承认呢？”用不一样的视角展现惨痛的历史。★★★☆,27000061,3,2018-01-19,airan712
23,清华优秀毕业生联展，结尾人物介绍真让人感慨。看得出导演野心很大，但每一个故事的漏洞都特别明显，刻意的靠音乐煽并不讨巧，故事间的连接性也有些微妙。只能说这么强的卡司与故事，拍成这样实在可惜了。 ★★★☆,6874741,3,2018-01-12,airan712
24,"""anger begets greater anger""可以在电影中看到生活，看到无限贴近生活的黑色幽默，看到不动声色的编剧技巧，以及完全反常规的人物和命运，还有绝对意义上的戏剧高潮。真的很悲伤了，嘴上喊着去爱，最后也没有人能得偿所愿。冷漠残酷的故事，蜕变又回暖的人心。★★★★★",26611804,5,2018-01-10,airan712
25,只有我觉得女主像马雅舒吗？★★,26662193,2,2018-01-10,airan712
26,老梗校园青春片新拍。★★★,27027913,3,2018-01-06,airan712
27,过于期待，实在一般。★★★,26588314,3,2018-01-05,airan712
28,四集剧，哭了三集，但是哭过以后你会发现还是那些旧套路。★★★☆,27180952,3,2018-01-05,airan712
29,还行，起码是一部没有看睡着的超人电影。★★★,2158490,3,2017-12-23,airan712
30,美术画面视听效果堪称极致，故事就真的很一般很催眠了，尤其是越往后越糟糕。★★★,5350027,3,2017-12-23,airan712
31,“一个始终不被善待的人，最能识别善良，也最珍惜善良。”剪的有些多，倒不算影响观影，不过想要表达的东西太多，却又都欠上了一口气。★★★☆,26862829,3,2017-12-09,airan712
32,基本可以肯定，这是奥德曼离奥斯卡影帝最近的一次。★★★★,26761416,4,2017-12-03,airan712
33,又一个俗套温情故事，消除隔阂，寻找梦想。这漫天好评，分数还真是虚高。★★★,20495023,3,2017-11-28,airan712
34,好的地方都是老舍的。★★★☆,26657126,3,2017-11-22,airan712
35,"「我自己肯定是要出去的，有你在最好，没有你，我自己也要去。」始于告别，终于告别，几度泪奔。
张艾嘉对生活的细腻观察和人生的深刻感悟都在电影里了，三代女人的爱情观，看的人五味杂陈，揪心又动人。
田壮壮不动声色演的是真好。★★★★",26773744,4,2017-11-04,airan712
36,「存在是否并不具有意义，更重要的是感受」配乐，镜头语言，画面都上乘，一部不能用单纯的科幻片或者文艺片去定义的电影。夜景的朋克气息，沙漠的粗犷寂寥，光影运用更带有现代气息。探讨的人之生存问题，汉斯季默的配乐很好的调动了情绪，少了一份抒情，多了一份孤独。★★★★☆,10512661,4,2017-10-27,airan712
37,日影平均值。★★★☆,26754513,3,2017-10-21,airan712
38,不严谨不难看，剧情没有上一部好，不过做到了本职工作，安心打架不啰嗦。★★★☆,26378579,3,2017-10-21,airan712
39,情节无糟点环环紧扣，尺度拿捏的恰到好处，考场如战场，抓弊如追凶。★★★★,27024903,4,2017-10-14,airan712
40,算是近些年国产剧集里的良心制作，并没有像传统电视剧那般把观众当傻子对待，只是越往后越拖沓水分越足。★★★☆,26883064,3,2017-10-12,airan712
41,不算多讨厌，但也是尴尬全程。★★☆,27038183,2,2017-10-07,airan712
42,略尬。★★☆,26790961,2,2017-10-06,airan712
43,挖了很多坑，一个也没填，就结束了。★★★,26811587,3,2017-10-05,airan712
44,“谁控制了过去，谁就控制了未来。”★★★,26717795,3,2017-10-05,airan712
45,不要轻信新闻，要学会判断。★★ ★★,27063414,4,2017-09-30,airan712
46,“天上落雨路又滑，自己跌倒自己爬。自己忧愁自己解，自流眼泪自抹干。”,26236632,4,2017-09-06,airan712
47,电影借鉴了很多经典电影，不过本身对于人物的刻画得有点浅薄肤浅，家长的反击也绵软无力。只能说很有代入感而已。★★★☆,26727890,3,2017-09-06,airan712
48,电影从不一样的视角解读二战中的历史大事件，三个时间片段被拉扯交织，绝对是此类题材的上乘之作。配乐从始至终牵动人心，时而冰冷时而温暖，时而沮丧时而昂扬。★★★★,26607693,4,2017-09-01,airan712
49,离开原著的编剧真的让剧集水准降得有点离谱，简单的说，是目前为止最烂的一季。★★★☆,26235354,3,2017-08-28,airan712
50,真是很难喜欢新垣结衣和整部剧浮夸的表演。★★★,10491666,3,2017-08-25,airan712
51,故事框架太大，铺的太开，可功力不够无法收尾，也就是胜在短小精干不至于曝露更多问题。★★★,26918285,3,2017-08-22,airan712
52,"单从电影来说，主题不够明确，表达多少有些暧昧，故事讲述的松散。导演水平还远不能驾驭。
但是这么一个主题的电影，又不能那么客观的去评价，本身存在意义远大于艺术本身。
最后，有幸众筹参与了这么一部电影。",26430107,4,2017-08-17,airan712
53,不仅仅只是一碗鸡汤，时空交错频繁且流畅，故事足够真实，情感表达也足够细腻，真正的好多次被击中内心。This is us. This is life.★★★★★,26794215,5,2017-08-05,airan712
54,虎头蛇尾，越往后越差劲。★★★,26605881,3,2017-08-04,airan712
55,全员在线，行云流水， 整部剧对细节把控的也非常到位。★★★★,26934346,4,2017-08-02,airan712
56,没看过第一部，似乎在衔接上没什么太大影响。单从电影来说，吴京是真的很拼，呈现出的质量也不差，但这种小粉红个人秀实在是让人提不起太大兴致。★★★,26363254,3,2017-07-31,airan712
57,有个别镜头能开心一笑就好啦。★★★,25812712,3,2017-07-21,airan712
58,"余秀华真是一个骨子里透着光的女人。
那股生命力和精神力，纯粹而真实。★★★★",26324232,4,2017-07-17,airan712
59,只剩下情怀。★★★,26416957,3,2017-06-23,airan712
60,不寒而栗。★★★★★,26784967,5,2017-06-23,airan712
61,电影越来越正经是好事，可人物设定越来越蠢却是为何？遇到问题一惊一乍哭哭啼啼，安全漏洞巨大，结尾反转伏笔也太过明显。★★★☆,11803087,3,2017-06-16,airan712
62,靠颜值挤到及格。★★★,1578714,3,2017-06-04,airan712
63,气氛营造得很好，节奏也很好，但是故事老套到我以为我在看八十年代的电影。★★★☆,26718838,3,2017-05-20,airan712
64,另一个版本的万能钥匙，与种族有关，内容一般，结局是败笔。★★★,26688480,3,2017-05-18,airan712
65,孤独者的爱情。 ★★★,26789384,3,2017-05-14,airan712
66,高开低走节奏拖沓虎头蛇尾不说人话。★★★,26727273,3,2017-05-14,airan712
67,亲爹设定尴尬，选曲不如上部，中间部分开始无聊。不过好在是一部看得很开心的爆米花电影。★★★☆,25937854,3,2017-05-07,airan712
68,虎头蛇尾。好混乱的剧情，逻辑上也特别牵强。★★,25884801,2,2017-05-02,airan712
69,换另外的演员来出演，真的会尴尬到提前离场，但是他们俩真的好甜啊。尤其看完超级想做菜呀。★★★,26816383,3,2017-04-30,airan712
70,虽然剧本超生硬，几段设计特别扯淡，只剩下贩卖情怀，但还是好过第二部。★★★☆,26639958,3,2017-04-29,airan712
71,电影本身套路化，但这部电影表达的价值观还真是令人反感啊。★★,26387939,2,2017-04-23,airan712
72,「独步天下，吾心自洁，无欲无求，如林中之象。」★★★★,1291566,4,2017-04-18,airan712
73,结构性很多借鉴参考在里头，故事也算讲的完整。但大概我本身对这类型喜剧就不感冒？★★★,26808466,3,2017-04-14,airan712
74,「只有用心灵才能看得清事物本质，真正重要的东西是肉眼无法看见的。」对于新导演来说，完成度非常好。电影很丧，演员演技扎实。关于照顾母亲的部分尤其扎心，想起不久前家里老人弥留之际的点滴。★★★★,26704590,4,2017-04-11,airan712
75,转场教科书。★★★★,1395091,4,2017-04-09,airan712
76,不论这样的游戏设定有多少禁不起推敲的地方，就单单是结尾的happyend就足够莫名其妙了。救赎？Are you kidding me?★★★,1296384,3,2017-04-09,airan712
77,漏洞很多，逻辑也禁不起推敲，反转反转再反转也不觉得特别高明。★★★,26580232,3,2017-04-09,airan712
78,演技在线，剧情靠配乐推动，前戏冗长，很难get。★★★☆,26279289,3,2017-04-08,airan712
79,离师傅是枝裕和还是有段差距。★★★☆,26581774,3,2017-04-04,airan712
80,为惊而惊。★★★,20452350,3,2017-04-03,airan712
81,高级版杜拉拉，女主的情商能够在职场里如此顺风顺水也是让人费解。★★★,26921674,3,2017-04-03,airan712
82,奇异旅行的终点是家。★★★☆,6985803,3,2017-04-03,airan712
83,电影本身正常迪斯尼水准，不惊不喜，歌舞好听好看。但是整个观影过程很糟糕，开场十分钟内我大概听到了旁边妹子说了二十几次“哇，好美”，每到惊险场面就是“啊啊啊，不要”。？？？？★★★,25900945,3,2017-03-21,airan712
84,“我来见你了，你在好远的地方啊。”记忆会消失，但感觉不会。★★★★,26683290,4,2017-03-12,airan712
85,道德与惩罚，羞辱与救赎。看过导演的第三部电影，不如《一次别离》也不如《关于伊丽》。★★★☆,26679552,3,2017-03-12,airan712
86,你的名字，我的心事。记忆的碎片拼凑起来，满满的全是爱。★★★★,1292220,4,2017-03-12,airan712
87,没玩过游戏没看过任何一部部，对于这部电影没有任何期待，反而觉得还不错。★★★,20471852,3,2017-03-12,airan712
88,电影的美好就是可以像末尾那段蒙太奇，诉说无尽的美好浪漫以及忧伤与遗憾。我们彼此都追到了梦，只是那场梦里已经没有了彼此。★★★★,25934014,4,2017-02-11,airan712
89,一部由诸多无声的瞬间撑起来的影片。也许人的一生大部分就像这般都是由悲伤和遗憾组成吧。★★★★,25980443,4,2017-02-09,airan712
90,无可挑剔的精致。★★★★★,26427152,5,2017-02-07,airan712
91,宗教，政治，所有的冲突都会因为爱而烟消云散。★★★☆,26393561,3,2017-02-01,airan712
92,除去电影外关于直男癌的问题，坦白说完成度不错，虽然是《难兄难弟》的旧套路。★★★,26862259,3,2017-01-29,airan712
93,我说两点，1/这部电影作为烂片特别催眠；2/作为一部烂片，他特别不适合春节观看，尤其带小孩。渗人，容易有阴影。★,25801066,1,2017-01-28,airan712
94,除了虚构的两个角色不喜欢以外，这部剧五星无可争议。★★★★★,1441794,5,2017-01-26,airan712
95,先看过原著，整体来讲，氛围、音乐、还原都算不错。只是较于原著，改编把格局变得更小，甚至都谈不上科幻题材，变成了老生常谈的那些问题。★★★☆,21324900,3,2017-01-20,airan712
96,真实细腻。★★★,26616436,3,2017-01-18,airan712
97,创意呢？转折呢？★★★,26649095,3,2017-01-08,airan712
