,movie_comment,movie_id,movie_score,movie_time,user_id
0,凑热闹作品，本不必深究，但有些表演和情节扭曲太夸张做作了，乐子图得有点低级。,26698897,2,2018-03-05,aixiaoke
1,非常享受，作为串联歌舞的情节竟然也也颇有可看之处，倒是有点超出预期。酒吧的两场最好，高空飞人的爱情二重唱十分动人，但我印象最深刻的竟然是马戏团员愤怒走会博物馆的那场，简直有点激动人心，如《悲惨世界》的“听到人民高歌”选段。Jackman的魅力无以伦比，不爱不行。,3914513,4,2018-02-17,aixiaoke
2,太造作了，从情节安排到台词到表演到音乐渲染，没有一样不是跳着脚呐喊“我有内涵，快看我，我有情怀”，其中数个本来严肃的场景更是造作尴尬地令人笑场。另外各种莫名其妙的清华软硬广告都是什么鬼！章子怡那一段是唯一亮点，否则最多一星。,6874741,2,2018-01-21,aixiaoke
3,演员的表演还是很不错的。情节尽管俗套但完成度不错，有早期香港喜剧的风采。,27038183,3,2017-12-26,aixiaoke
4,画面大美，情节的着手点也很新颖，美中不足是关于梵高本人的刻画比较单薄，没有太多关于艺术的探索。结尾感人至深。,25837262,4,2017-12-13,aixiaoke
5,温馨不庸俗。在时间的不断跳跃交织中，两代人的生活呼之欲出。每个人的章节都精彩，William的最具诗意。不足之处大概是格局限制，中产阶级的小情调鸡汤。,26794215,4,2017-11-19,aixiaoke
6,内容上佳，拍摄执行上有所欠缺，主要是画面剪辑比较生硬，缺乏共情。太子的人物形象最佳，大护法有所牵强。整体在国产电影里可算耳目一新，3.5星。,26811587,3,2017-10-08,aixiaoke
7,过于刻意的浪漫主义表现手法让人有点出戏，但的确有几个精彩的片段，人物塑造也不错。,26270502,3,2017-09-10,aixiaoke
8,离婚入职前的部分挺好看的，活泼接地气；离婚后为了实现玛丽苏的终极目标，硬是把女主角的性格从小市民拜金女乾坤大扭转为知性工作狂，各种生拉硬造的职场对抗赛+老干部作报告的格言金句，令人作呕。最大闪光点为各色风衣和袁泉的造型，尤其各种耳钉，大赞。,26358696,2,2017-08-11,aixiaoke
9,期待看战争叙事人性情怀的观众大概要失望了，影片重点更在重现撤退的惨痛与残酷。三个视点，三条交织的时间线，有英雄主义但保持在了情理之中。最大优点是主观与客观镜头的转换剪辑，无论空战还是逃生，都在转换中营造出了精彩的紧张感。Hans Zimmer的配乐也功不可没。,26607693,4,2017-07-28,aixiaoke
10,抛开背景的真实故事以外，影片的娱乐性不错，表演都很精彩，颇具看点。然而联系背景之后，一个好题材被编得简单脸谱化了，娱乐有余，深度不足，与其致敬的Lord of War相差太远。,6872936,3,2017-07-17,aixiaoke
11,本季没有特别值得言说的部分，除了这个令人意外的结尾。Sheldon的成长令人惊喜也惊诧，期待下一季这个geek小团体的人生走向。,25845401,3,2017-07-17,aixiaoke
12,与星战系列进行了很好的衔接，将死星的来龙去脉讲得清清楚楚。但除此外缺乏超越原星战系列的细节，除了异常悲壮的结尾。3.5星。,25894431,3,2017-07-17,aixiaoke
13,非常愉悦的观赏体验，向各电影致敬的桥段温馨灵巧，男女主人公的各自表演也可圈可点，尤其Emma Stone异常惊艳。整体的故事线比较松弛，以情怀为主，不可深究。但作为音乐剧这一类型片而言，整体浪漫动听，服装布景都很到位，具备催人泪下的高潮，足以。,25934014,4,2017-07-17,aixiaoke
14,一流的题材，二流的表演（小演员的印度部分最好），三流的叙事剪辑，把一个动人的故事搞成了平铺直叙的流水帐，真心不如trailer里的倒序法好。成年的自我发现的深度没表现出来，造成寻根之旅较剥离生硬。,26220650,3,2017-06-29,aixiaoke
15,视觉效果是一如既往的高水准，对细节光影的刻画赏心悦目。叙事本身依然是新海诚式的小格局，建筑在一个好idea的基础上略微拓展，讲究瞬间感动，然而大架构粗糙，人物也基本扁平，并不能深刻地动人。,26683290,3,2017-06-23,aixiaoke
16,非常完整的类型片，难得的是双重文本玩得不错，政治隐喻清晰明确，狡黠有趣味。黑女仆演技爆裂！,26688480,4,2017-05-29,aixiaoke
17,剧本蛮不错，就是表演比较夸张，更具舞台剧的特色。,26580232,3,2017-05-05,aixiaoke
18,对心理的刻画非常细腻，对所有的旮旯暗角腌臜毫不留情，统统曝光，但也正因如此，观影过程太难受了，包括人物造型，实在是部超超级难看的好电影。,19955769,3,2017-05-04,aixiaoke
19,猫真好，能遇到Bob，这小子真是前世修了大福。,26685451,3,2017-05-03,aixiaoke
20,短小精悍而坦诚，清晰解剖了一个女人怎么在大城市物质和欲望的漩涡里沉浮。不少细节颇具幽默感。,26921674,3,2017-03-18,aixiaoke
21,极有回味的反乌托邦电影，冷又黑的幽默充满质感，表演也钝得可爱。每个人物都特色十足。,20514947,4,2017-03-03,aixiaoke
22,Tim Burton的水准真是每况愈下，完全儿童剧的况味，不暗黑也不扭曲，只剩一些浮于表面的视觉效果。,7051830,2,2017-02-25,aixiaoke
23,够不上Oliver Stone的平均水准，戏剧化渲染的感觉有点多，幕后立场过于明显（尤其真人出境）。,25900819,3,2017-02-25,aixiaoke
24,除了结尾较明显的情绪渲染之外，影片整体都很朴素，视角选择也佳，稳健有力的叙事。骨子里依然是Eastwood的老牛仔精神，纯美国式的英雄主义大放送。,26416603,4,2017-02-25,aixiaoke
25,几个人物表演都特好，剧本则差强人意，表现出了“是什么”，但没讲明白“为什么”，从头到尾还是感觉在看西洋景，缺乏共情共理。,26259202,3,2017-02-14,aixiaoke
26,天才终归是无法被普通人理解的，因为他们根本无法和普通人正常沟通。电影叙述本身很平淡，基本无高潮。,3269088,3,2017-02-11,aixiaoke
27,作为系列的非粉丝，觉得电影拍得算及格，该有的都有，算是给这个大龄单身女青年的童话故事画了个不错的结局。跳出系列本身来看，故事则非常平庸，孕期部分表现不够。,3868141,3,2017-02-06,aixiaoke
