,movie_comment,movie_id,movie_score,movie_time,user_id
0,,3724115,3,2018-04-03,angle223
1,1，想念在南京听着南京话的日子。2，小张比我都有理想。,26954003,3,2018-03-31,angle223
2,怀揣歌剧梦想的王彩玲最终成了泯然众人的宿管王姨，像深夜河畔的那只孤独斑马渐行渐远再无声息。,26967920,2,2018-03-31,angle223
3,假如没有看过日版，我可能也会给韩版打五星。韩版煽情、流畅、亢进，像激流层递；日版克制、温厚、沉静，如深海缓行。相较韩版翻拍之后呈现的冒险、犯罪和悬疑风格，我还是更喜欢日版原版所讲述的人性、原罪和救赎主题。,26901443,4,2018-03-30,angle223
4,2008年夏天，有了第一台笔记本电脑的那个夏天，在大学宿舍迅雷下载了全集《活着真好》，暑假回到小城和妈妈一起一集集看完，想给那时刚刚手术化疗没多久的妈妈一些与剧中主人公感同身受的力量和慰藉。忽然十年都过去了。,3003188,4,2018-03-27,angle223
5,,26965693,3,2018-03-25,angle223
6,,26952153,4,2018-03-24,angle223
7,像每一段热恋关系，进入了第四年的疲软期。,20398945,3,2018-03-24,angle223
8,故园风雨后，大楼将坍圮。好女孩上天堂，坏男孩走四方。,6985315,5,2018-03-20,angle223
9,所有三姐妹的戏剧都很好看，莫名想起《珠光宝气》。,5990367,4,2018-03-20,angle223
10,恢宏图卷徐徐展开，英版红楼梦，英伦贵族的等级、克制、放荡、与优雅。,4769314,5,2018-03-20,angle223
11,她的孤独是一座开满水藻的浴缸花园。,26752852,3,2018-03-18,angle223
12,,26870023,3,2018-03-18,angle223
13,人设全都浮在纸面上，立不起来。看了一下导演和编剧果然全都是女性——那么问题来了，腐女眼中的热血少年男同基情，和中年油腻男眼中的美好少女胴体，哪一个更可怕？,27598317,2,2018-03-18,angle223
14,Jack死在他的中年岁月，只有他永不老去，这多不公平。所以在最后Kate的幻想中，她看见老了的父亲，头发灰白，挽着自己的手臂让她轻轻伏在他肩头摇曳舞步。长吁一口气，长大后的Kate终于得以与老去的Jack重逢，从前那些闪亮的日子也才能远去。,26958597,5,2018-03-17,angle223
15,关于“人生的活法”的抉择。狐狸失败了，输得一败涂地。他离经叛道，与天性为敌，与规则为敌，与秩序为敌。他心甘情愿成为一只“窝囊”而“没有出息”的“大坏狐狸”。看到它最后住在农场里，温顺善良地与一群鸡妈妈和三只小鸡仔为伍，突然感动起来。他从此失去了整片森林，可他听从了自己的内心。,27042405,4,2018-03-17,angle223
16,成年后的我们，总是轻而易举地发生一场又一场心动，并假想与对方如何发展至天长地久的可能，可当看不到一点利润时，又等不及地急匆匆地掉转头转身离去。,2263277,4,2018-03-14,angle223
17,1，亚视剧对人性阴暗面的挖掘一直都很好看。2，我恨我自己做不到像段绍祥那么坏得痛快。3，如今看这部ATV剧还有一点让我唏嘘是，94年后，四个男演员全都先后被挖角跳槽TVB，演了金庸剧男主角：黄日华（萧峰）、江华（夏雪宜）、吕颂贤（令狐冲）、陈锦鸿（胡斐）。也算是一种有趣的巧合吧。,2262099,4,2018-03-13,angle223
18,“蒙面唱将猜猜猜”+“演员的诞生”杂糅精华而成的“好节目”。都说这个后来居上吊打隔壁台节目，但毕竟是拾人牙慧的跟风+模仿+改编的集大成者。芒果台的节目包装和立意很厉害，但流于炫技，并且很尬。尬聊，尬煽情，尬欢呼鼓掌，尬感动。,27617683,3,2018-03-09,angle223
19,我们从何处而来，最终又往何处而去，都不重要了。重要的是留下一些足迹。像普罗大众生儿育女代代相传一样，那是他们留下的足迹；我也希望自己努力留下一点有价值的东西，在漫长的人类史上也能曾微弱地发出过幽光。,26742730,4,2018-03-06,angle223
20,想法很好，拍得很差。,27006201,2,2018-03-03,angle223
21,王敏德演起基佬来也真是风骚有趣，被剧情强行掰直差评。,1305770,2,2018-03-03,angle223
22,假。,26415327,2,2018-03-01,angle223
23,唯一一星给可看的郭襄。,2375707,1,2018-02-26,angle223
24,台湾金庸武侠剧的空旷痛烈古龙味。,1790861,3,2018-02-26,angle223
25,这辈子最爱的一部武侠剧NO.1。,1863947,5,2018-02-26,angle223
26,像一场淡淡的潮湿的岛上的梦。,1465819,3,2018-02-26,angle223
27,,1438041,3,2018-02-25,angle223
28,光妹撑着我全程低头玩手机才能看完。,26928303,2,2018-02-21,angle223
29,也许真的只有身在逆境时才能沉下心来搞出一点东西。借空手道讲人生（虽然讲得很浅表），但没想到这会是杜汶泽（哪怕依旧不喜欢他）拍出来的片子。,27006898,3,2018-02-21,angle223
30,生而平等是不存在的，死而平等也是不存在的，唯有人类永生的孤独是众生平等的。,27059130,4,2018-02-20,angle223
31,,26773818,3,2018-02-18,angle223
32,1至少是精心烹饪的一份快餐，2就是一锅乱炖，明明很炫目，吃完却很寡淡。,26575103,2,2018-02-18,angle223
33,1就是一碗亢奋鸡血，2同样是一碗更大份的亢奋鸡血。这样的电影注定只能在逢年过节人们酒足饭饱醉醺醺地躺在影院，一边打着饱嗝消化肠胃积食一边肤浅致幻自我麻痹，隔天早晨马桶冲走，留不下任何印记。,26698897,2,2018-02-17,angle223
34,万般带不走，唯有业随身；世间留不住，独有情不死。,11584016,5,2018-02-17,angle223
35,好期待第四部火焰山，快来一把芭蕉扇把导演郑保瑞给扇走吧。,25829175,1,2018-02-16,angle223
